id,parent_id,name
203,37,Havregryn
204,11,Stangselleri
205,4,Deiger og rører
206,205,Pizzabunn
207,61,Pistasjenøtter
208,26,Saft
209,105,Skalldyr
210,209,Skjell
211,164,Dessertpuddinger
212,211,Karamellpudding
213,106,Lutefisk
214,88,Øl
215,2,Druer
216,105,Sushi
217,130,Tacokryddermix
218,142,Makaroni
219,209,Scampi
220,65,Tomatpure
221,,Kioskvarer
222,221,Lesestoff
223,222,Aviser
224,19,Fetaost
225,156,Brownie
226,8,Fløte
227,226,Kremfløte
228,13,Remulade
229,209,Reker
230,99,Smør
231,128,Risgrøt
232,2,Ananas
233,159,Physalis
234,70,Lasagne ferdig
235,19,Blåmuggost
236,139,Mandler
237,168,Kjøttfarse
238,13,Spekemat
239,16,Barnekjeks
240,238,Spekeskinker
241,199,Avfallssekker
242,171,Tennbriketter
243,142,Pasta fylt
244,82,Kanelbakst
245,19,Mozzarella
246,60,Dip
247,22,Hamburgerbrød
248,246,Dipmix
249,4,Krydder
250,249,Laurbærblader
251,93,Søtkjeks
252,5,Peppersaus
253,142,Pastaskruer
254,47,Kylling hel
255,118,Apotekvarer
256,255,Plaster
257,249,Rosmarin tørket
258,164,Riskrem
259,41,Prim
260,130,Guacamole
261,113,Baconpostei
262,130,Tortillalefser
263,164,Fruktkompott
264,156,Julekaker
265,65,Oliven
266,79,Matyoghurt
267,67,Linser
268,2,Kiwi
269,70,Ferdigmåltid
270,84,Fiskekaker
271,19,Cheddar
272,139,Svisker
273,142,Pastaskjell
274,130,Tortillachips
275,249,Hvitløkspulver
276,4,Stuinger
277,276,Ertestuing
278,74,Kokesjokolade
279,164,Hermetisk frukt og bær
280,279,Hermetisk ananas
281,119,Tannkrem
282,60,Tyggegummi
283,46,And
284,283,And
285,156,Kransekake
286,95,Isbitposer
287,156,Sjokoladekake
288,57,Kebabdressing
289,43,Viltkjøtt
290,51,Kjøkken
291,60,Popcorn
292,289,Reinsdyr
293,290,Bakeutstyr
294,5,Pastasaus
